tick,sim_time_s,state,decision_reason,control_reason,speed_mps,desired_speed_mps,target_speed_mps,throttle,brake,steer,reverse,cross_track_error_m,heading_error_rad,collision_count,collision_impulse,lane_intrusion,lane_departure,stop_required,stop_violation,parking_hold,route_index,route_s_m
1,0.05,TIME_TRIAL,time_trial_lap_1,lane_follow,0.4899999797344208,2.2,2.2,0.15000000000000002,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
2,0.1,TIME_TRIAL,time_trial_lap_1,lane_follow,0.9800000786781311,2.2,2.2,0.30000000000000004,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
3,0.15000000000000002,TIME_TRIAL,time_trial_lap_1,lane_follow,1.470000147819519,2.2,2.2,0.18615996283888822,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
4,0.2,TIME_TRIAL,time_trial_lap_1,lane_follow,1.9600002765655518,2.2,2.2,0.06389993037581448,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
5,0.25,TIME_TRIAL,time_trial_lap_1,lane_follow,1.112391233464584,2.2,2.2,0.2138999303758145,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
6,0.30000000000000004,TIME_TRIAL,time_trial_lap_1,lane_follow,0.4268601238743392,2.2,2.2,0.36389993037581453,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
7,0.35000000000000003,TIME_TRIAL,time_trial_lap_1,lane_follow,0.09705312550081972,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
8,0.4,TIME_TRIAL,time_trial_lap_1,lane_follow,0.04659594595435261,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
9,0.45,TIME_TRIAL,time_trial_lap_1,lane_follow,0.09684409946204586,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
10,0.5,TIME_TRIAL,time_trial_lap_1,lane_follow,0.10325210541491903,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
11,0.55,TIME_TRIAL,time_trial_lap_1,lane_follow,0.09146501123912673,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
12,0.6000000000000001,TIME_TRIAL,time_trial_lap_1,lane_follow,0.07413007318997955,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
13,0.65,TIME_TRIAL,time_trial_lap_1,lane_follow,0.05700907483744692,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
14,0.7000000000000001,TIME_TRIAL,time_trial_lap_1,lane_follow,0.042345590891262705,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
15,0.75,TIME_TRIAL,time_trial_lap_1,lane_follow,0.030686195940777452,2.2,2.2,0.45,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
16,0.8,TIME_TRIAL,time_trial_lap_1,lane_follow,0.02182896621599367,2.2,2.2,0.45,0.0,-0.01235684856135826,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
17,0.8500000000000001,TIME_TRIAL,time_trial_lap_1,lane_follow,0.015304908161041363,2.2,2.2,0.45,0.0,-0.01235684856135826,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
18,0.9,TIME_TRIAL,time_trial_lap_1,lane_follow,0.010608425368343997,2.2,2.2,0.45,0.0,-0.01235684856135826,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
19,0.9500000000000001,TIME_TRIAL,time_trial_lap_1,lane_follow,0.007283038926269448,2.2,2.2,0.45,0.0,-0.01235684856135826,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
20,1.0,TIME_TRIAL,time_trial_lap_1,lane_follow,0.004960508099360661,2.2,2.2,0.45,0.0,-0.01235684856135826,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0,False,False,False,False,False,0,0.0
