tick,sim_time_s,state,decision_reason,control_reason,speed_mps,desired_speed_mps,target_speed_mps,throttle,brake,steer,reverse,cross_track_error_m,heading_error_rad,route_index,route_s_m
1,0.05,TIME_TRIAL,time_trial_lap_1,lane_follow,0.4899999797344208,1.0,1.0,0.12801000508666038,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
2,0.1,TIME_TRIAL,time_trial_lap_1,lane_follow,0.9800000786781311,1.0,1.0,0.0055299802720546725,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
3,0.15000000000000002,TIME_TRIAL,time_trial_lap_1,lane_follow,1.470000147819519,1.0,1.0,0.0,0.11744003716111183,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
4,0.2,TIME_TRIAL,time_trial_lap_1,lane_follow,1.9600002765655518,1.0,1.0,0.0,0.24090006962418556,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
5,0.25,TIME_TRIAL,time_trial_lap_1,lane_follow,1.112391233464584,1.0,1.0,0.0,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
6,0.30000000000000004,TIME_TRIAL,time_trial_lap_1,lane_follow,0.4268601238743392,1.0,1.0,0.14284571719127864,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
7,0.35000000000000003,TIME_TRIAL,time_trial_lap_1,lane_follow,0.09705312550081972,1.0,1.0,0.22620041365915772,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
8,0.4,TIME_TRIAL,time_trial_lap_1,lane_follow,0.04659594595435261,1.0,1.0,0.23976811259982014,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
9,0.45,TIME_TRIAL,time_trial_lap_1,lane_follow,0.09684409946204586,1.0,1.0,0.22810923012343476,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
10,0.5,TIME_TRIAL,time_trial_lap_1,lane_follow,0.10325210541491903,1.0,1.0,0.22740397652980157,0.0,-0.0009065003105112293,False,8.22383150380072e-07,8.489361592034506e-07,0,0.0
