order,original_index,x,y,dx,dy,slope,angle_deg,radius
0,0,9158.3,2463.5,1459.177013,-3588.195955,-2.459054606,292.129626,3873.5446
1,1,9168.1,2465.6,1468.977013,-3586.095955,-2.441219925,292.27554,3875.303557
2,2,9177.9,2467.7,1478.777013,-3583.995955,-2.42362163,292.421321,3877.087626
3,3,9187.6,2469.7,1488.477013,-3581.995955,-2.406483891,292.565036,3878.950739
4,4,9197.4,2471.7,1498.277013,-3579.995955,-2.389408583,292.709973,3880.87684
5,5,9207.3,2473.6,1508.177013,-3578.095955,-2.372464189,292.855553,3882.958738
6,6,9217.1,2475.5,1517.977013,-3576.195955,-2.355895988,292.999618,3885.026605
7,7,9226.9,2477.4,1527.777013,-3574.295955,-2.339540341,293.143529,3887.119007
8,8,9236.7,2479.4,1537.577013,-3572.295955,-2.323328148,293.287867,3889.144052
9,9,9246.5,2481.4,1547.377013,-3570.295955,-2.307321308,293.432054,3891.193753
10,10,9256.3,2483.5,1557.177013,-3568.195955,-2.291451726,293.576676,3893.176418
11,11,9266.0,2485.7,1566.877013,-3565.995955,-2.275862065,293.720396,3895.052082
12,12,9275.8,2487.8,1576.677013,-3563.895955,-2.260384292,293.864725,3897.084138
13,13,9285.6,2489.9,1586.477013,-3561.795955,-2.245097739,294.008904,3899.140897
14,14,9295.4,2492.0,1596.277013,-3559.695955,-2.229998882,294.15293,3901.22232
15,15,9305.1,2494.0,1605.977013,-3557.695955,-2.215284481,294.294859,3903.378367
16,16,9314.9,2496.0,1615.777013,-3555.695955,-2.200610558,294.437966,3905.599708
17,17,9324.7,2498.2,1625.577013,-3553.495955,-2.185990529,294.58213,3907.663512
18,18,9334.5,2500.4,1635.377013,-3551.295955,-2.171545721,294.72614,3909.75203
19,19,9344.2,2502.8,1645.077013,-3548.895955,-2.157282563,294.869899,3911.641711
20,20,9353.9,2505.2,1654.777013,-3546.495955,-2.14318662,295.013518,3913.555994
21,21,9363.5,2507.8,1664.377013,-3543.895955,-2.129262737,295.156915,3915.271303
22,22,9373.2,2510.4,1674.077013,-3541.295955,-2.115372188,295.301509,3917.053853
23,23,9382.9,2512.8,1683.777013,-3538.895955,-2.101760463,295.444713,3919.041925
24,24,9392.6,2515.0,1693.477013,-3536.695955,-2.08842277,295.58651,3921.23484
25,25,9402.4,2517.2,1703.277013,-3534.495955,-2.075115162,295.729462,3923.495156
26,26,9412.2,2519.2,1713.077013,-3532.495955,-2.06207656,295.870975,3925.959822
27,27,9422.0,2521.2,1722.877013,-3530.495955,-2.04918629,296.01231,3928.448407
28,28,9431.8,2523.3,1732.677013,-3528.395955,-2.03638412,296.154108,3930.871105
29,29,9441.6,2525.4,1742.477013,-3526.295955,-2.023725953,296.29573,3933.317849
30,30,9451.3,2527.5,1752.177013,-3524.195955,-2.011324157,296.435871,3935.744074
31,31,9461.1,2529.7,1761.977013,-3521.995955,-1.998888708,296.577791,3938.149121
32,32,9470.9,2531.8,1771.777013,-3519.895955,-1.986647263,296.718884,3940.667623
33,33,9480.7,2533.8,1781.577013,-3517.895955,-1.974596623,296.859138,3943.299203
34,34,9490.5,2535.8,1791.377013,-3515.895955,-1.962677833,296.999205,3945.95438
35,35,9500.3,2537.7,1801.177013,-3513.995955,-1.95094426,297.138421,3948.722097
36,36,9510.1,2539.5,1810.977013,-3512.195955,-1.939392896,297.276776,3951.601975
37,37,9519.9,2541.4,1820.777013,-3510.295955,-1.927910957,297.415596,3954.416091
38,38,9529.7,2543.4,1830.577013,-3508.295955,-1.916497328,297.554888,3957.164731
39,39,9539.5,2545.4,1840.377013,-3506.295955,-1.905205254,297.693985,3959.936726
40,40,9549.3,2547.4,1850.177013,-3504.295955,-1.894032803,297.832887,3962.732027
41,41,9559.1,2549.6,1859.977013,-3502.095955,-1.882870557,297.972948,3965.37395
