order,original_index,x,y,dx,dy,slope,angle_deg,radius
0,0,9158.3,2463.5,1401.762427,-3695.065641,-2.636014185,290.774773,3952.018218
1,1,9168.1,2465.6,1411.562427,-3692.965641,-2.616225517,290.918358,3953.543184
2,2,9177.9,2467.7,1421.362427,-3690.865641,-2.596709728,291.061831,3955.092961
3,3,9187.6,2469.7,1431.062427,-3688.865641,-2.577711196,291.203318,3956.724578
4,4,9197.4,2471.7,1440.862427,-3686.865641,-2.558790882,291.346034,3958.416702
5,5,9207.3,2473.6,1450.762427,-3684.965641,-2.540020042,291.489445,3960.263046
6,6,9217.1,2475.5,1460.562427,-3683.065641,-2.521676289,291.631376,3962.097313
7,7,9226.9,2477.4,1470.362427,-3681.165641,-2.503577059,291.773175,3963.95587
8,8,9236.7,2479.4,1480.162427,-3679.165641,-2.485649935,291.91538,3965.74591
9,9,9246.5,2481.4,1489.962427,-3677.165641,-2.467958637,292.057455,3967.560357
10,10,9256.3,2483.5,1499.762427,-3675.065641,-2.450431865,292.199945,3969.30659
11,11,9266.0,2485.7,1509.462427,-3672.865641,-2.433227602,292.341523,3970.946844
12,12,9275.8,2487.8,1519.262427,-3670.765641,-2.416149821,292.483764,3972.741964
13,13,9285.6,2489.9,1529.062427,-3668.665641,-2.399290949,292.625876,3974.561547
14,14,9295.4,2492.0,1538.862427,-3666.565641,-2.382646802,292.767857,3976.405559
15,15,9305.1,2494.0,1548.562427,-3664.565641,-2.366430682,292.907818,3978.327152
16,16,9314.9,2496.0,1558.362427,-3662.565641,-2.350265623,293.048968,3980.311612
17,17,9324.7,2498.2,1568.162427,-3660.365641,-2.334175069,293.191109,3982.136364
18,18,9334.5,2500.4,1577.962427,-3658.165641,-2.318284376,293.333119,3983.985602
19,19,9344.2,2502.8,1587.662427,-3655.765641,-2.302608904,293.474824,3985.63601
20,20,9353.9,2505.2,1597.362427,-3653.365641,-2.287123811,293.61641,3987.310777
21,21,9363.5,2507.8,1606.962427,-3650.765641,-2.271842564,293.757719,3988.786533
22,22,9373.2,2510.4,1616.662427,-3648.165641,-2.256603222,293.900236,3990.327047
23,23,9382.9,2512.8,1626.362427,-3645.765641,-2.241668634,294.041472,3992.074881
24,24,9392.6,2515.0,1636.062427,-3643.565641,-2.227033383,294.181408,3994.029399
25,25,9402.4,2517.2,1645.862427,-3641.365641,-2.212436217,294.322513,3996.048906
26,26,9412.2,2519.2,1655.662427,-3639.365641,-2.198132652,294.462288,3998.27467
27,27,9422.0,2521.2,1665.462427,-3637.365641,-2.183997418,294.601907,4000.524203
28,28,9431.8,2523.3,1675.262427,-3635.265641,-2.16996787,294.741967,4002.706644
29,29,9441.6,2525.4,1685.062427,-3633.165641,-2.156101509,294.881873,4004.912977
30,30,9451.3,2527.5,1694.762427,-3631.065641,-2.142521915,295.020329,4007.100869
31,31,9461.1,2529.7,1704.562427,-3628.865641,-2.128913311,295.160534,4009.264135
32,32,9470.9,2531.8,1714.362427,-3626.765641,-2.115518623,295.299976,4011.541791
33,33,9480.7,2533.8,1724.162427,-3624.765641,-2.102334202,295.438647,4013.933485
34,34,9490.5,2535.8,1733.962427,-3622.765641,-2.089298813,295.577151,4016.348663
35,35,9500.3,2537.7,1743.762427,-3620.865641,-2.07646729,295.714869,4018.877379
36,36,9510.1,2539.5,1753.562427,-3619.065641,-2.063836214,295.851793,4021.519277
37,37,9519.9,2541.4,1763.362427,-3617.165641,-2.051288825,295.989159,4024.094224
38,38,9529.7,2543.4,1773.162427,-3615.165641,-2.038823734,296.126976,4026.602489
39,39,9539.5,2545.4,1782.962427,-3613.165641,-2.026495672,296.26462,4029.134022
40,40,9549.3,2547.4,1792.762427,-3611.165641,-2.01430239,296.402091,4031.688778
41,41,9559.1,2549.6,1802.562427,-3608.965641,-2.002130737,296.540656,4034.08779
42,42,9568.8,2551.9,1812.262427,-3606.665641,-1.990145349,296.678424,4036.376116
43,43,9578.5,2554.3,1821.962427,-3604.265641,-1.978232694,296.816675,4038.598506
44,44,9588.2,2556.9,1831.662427,-3601.665641,-1.966337021,296.95606,4040.666113
45,45,9597.8,2559.7,1841.262427,-3598.865641,-1.95456421,297.09533,4042.53401
46,46,9607.3,2562.6,1850.762427,-3595.965641,-1.942964472,297.233859,4044.291094
47,47,9616.9,2565.5,1860.362427,-3593.065641,-1.931379385,297.373524,4046.117776
48,48,9626.5,2568.3,1869.962427,-3590.265641,-1.919966727,297.512409,4048.05717
49,49,9636.1,2571.1,1879.562427,-3587.465641,-1.908670651,297.651161,4050.020326
50,50,9645.8,2573.8,1889.262427,-3584.765641,-1.897441874,297.790368,4052.1423
